открой youtube, youtube
youtube, youtube
ютуб, youtube
ютубе, youtube
ка,vk
вконтакте,vk
vk,vk
в контакте,vk
рутуб,rutube
рутьюб,rutube
rutube,rutube
видео, найди видео
запусти видео, найди видео
включи фильм , найди видео
включи песню,музыка
запусти музыку,музыка
поставь музыку,музыка
радио,радио
радиостанцию,радио
проиграй радио,радио
поставь радио,радио
пускай играет радио,радио
сыграем в игру,игра
поиграем в игру,игра
поиграем,игра
камень ножницы бумага,кнб
кнб,кнб
пауза,пауза
расскажи анекдот,анекдот
расскажи шутку,анекдот
шутка,анекдот
сколько время, время
сколько времени, время
который час,время
прощание славянки, славянка
марш прощание славянки, славянка
песня abba, абба
abba, абба
абба, абба
день победы, победа
ко дню победы, победа
поговорим,разговор
поболтаем,разговор
разговор,разговор
сделай код,код
qr код,код
qr,код
очистить,очистить
убрать,очистить
добавить,добавить
добавить пользователя,добавить
добавь пользователя,добавить
расскажи о себе,о себе
о себе,о себе
себе,о себе
для чего ты создана,создана
ты создана,создана
создана,создана
что ты умеешь,что ты умеешь
умеешь,что ты умеешь
умения,что ты умеешь
википедии,википедия
википедия,википедия
